element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
S	2	"563.9972"	"0.0012"	"563.9980"	"0.0010"	"20000"	"6.33e+07"	C+	"14.067438"	"16.265137"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	"3s2.3p2.(3P).4p"	"2D*"	"5/2"	4	6		"T3186c85"	"L5883"	
Fe	1	"564.0310"	"0.0003"	"564.03066"	"0.00004"	"34"	""		"4.63819369"	"6.83576563"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"1"	"3d6.4s.(6D).6s"	"5D"	"2"	3	5		""	"L11631"	
S	2	"564.0333"	"0.0012"	"564.0336"	"0.0010"	"12000"	"3.22e+07"	C+	"13.701330"	"15.898891"	"3s2.3p2.(3P).3d"	"4F"	"7/2"	"3s2.3p2.(3P).4p"	"4D*"	"5/2"	8	6		"T3186c85"	"L5883"	
C	2	"564.0550"	"0.0010"	"564.0553"	"0.0006"	"29"	"9.90e+06"	B	"20.701289"	"22.898766"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).3p"	"4S"	"3/2"	2	4		"T5109LS"	"L1176"	
Fe	1	"564.0876"	"0.0003"	"564.08782"	"0.00004"	"13"	""		"4.21758325"	"6.41493251"	"3d7.(4F).4p"	"y 5D*"	"1"	"3d6.(5D).4s (4D).5s"	"e 3D"	"2"	3	5		""	"L11631"	
Cu	2	"564.12645"	"0.00023"	"564.12645"	"0.00019"	"2300"	""		"15.23365834"	"17.4308571"	"3d9.(2D<3/2>).5p"	"2[1/2]*"	"1"	"3d9.(2D<3/2>).5d"	"2[1/2]"	"0"	3	1		""	"L869c171"	
Fe	1	"564.14336"	"0.00010"	"564.14340"	"0.00004"	"457"	"3.0e+06"	D	"4.25622280"	"6.45335558"	"3d7.(4F).4p"	"y 5F*"	"3"	"3d6.(5D).4s (4D).5s"	"g 5D"	"2"	7	5		"T2578n"	"L11631"	
Fe	1	"564.14909"	"0.00010"	"564.14884"	"0.00004"	"27"	""		"3.64164057"	"5.83875215"	"3d6.4s2"	"b 3D"	"3"	"3d6.(3F2).4s.4p.(3P*)"	"x 3F*"	"3"	7	7		""	"L11631"	
Cr	1	"564.1738"	"0.0004"	"564.17348"	"0.00010"	"3"	""		"3.81713644"	"6.0141521"	"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"1"	"3d4.4s.5s"	"f 5D"	"1"	3	3		""	"L14866"	
Cr	1	"564.2359"	"0.0002"	"564.23588"	"0.00004"	"7"	"3.4e+06"	D	"3.85669178"	"6.05346444"	"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"4"	"3d4.4s.5s"	"f 5D"	"4"	9	9		"T4288"	"L14866"	
Ar	2	"564.2413"	"0.0008"	"564.242831"	"0.000016"	"2"	"2.e+05"	C	"17.77579262"	"19.972538226"	"3s2.3p4.(3P).3d"	"4F"	"3/2"	"3s2.3p4.(3P).4p"	"2S*"	"1/2"	4	2		"T926"	"L14821"	
Fe	1	"564.27509"	"0.00010"	"564.27504"	"0.00004"	"26"	"3.3e+05"	E	"4.60759327"	"6.80421351"	"3d7.(4F).4p"	"y 3F*"	"3"	"3d7.(4F).4d"	"e 3P"	"2"	7	5		"T2578n"	"L11631"	
C	1	"564.277"	"0.016"	"564.2825"	"0.0016"	"2000bl?"	""		"8.848124381"	"11.044716"	"2s2.2p.3p"	"3P"	"1"	"2s2.2p.(2P*<1/2>).9s"	"2[1/2]*"	"0"	3	1		""	"L2138"	
Cu	2	"564.35338"	"0.00024"	"564.35346"	"0.00007"	"280"	""		"14.75903379"	"16.95534876"	"3d8.(3F).4s.4p.(3P*)"	"3F*"	"2"	"3d9.(2D<5/2>).5d"	"2[3/2]"	"2"	5	5		""	"L869c171"	
S	2	"564.3757"	"0.0012"	"564.3770"	"0.0010"	"89"	"7.33e+05"	D+	"16.265137"	"18.461360"	"3s2.3p2.(3P).4p"	"2D*"	"5/2"	"3s2.3p2.(1S).3d"	"2D"	"3/2"	6	4		"T3186c85"	"L5883"	
Fe	2	"564.38695"	"0.00003"	"564.38685"	"0.00003"	"7000"	"1.2e+06"	D+	"7.6530572"	"9.8492422"	"3d6.(3P2).4p"	"y 4D*"	"7/2"	"3d6.(5D).5s"	"e 4D"	"7/2"	8	8		"T6892c83"	"L18349c139"	
Fe	1	"564.39258"	"0.00010"	"564.39262"	"0.00007"	"51"	"2.9e+05"	E	"4.07581091"	"6.27197352"	"3d8"	"c 3F"	"4"	"3d7.(2G).4p"	"z 1F*"	"3"	9	7		"T2578n"	"L11631"	
Fe	1	"564.40255"	"0.00010"	"564.40250"	"0.00004"	"55"	""		"4.55852281"	"6.75464698"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"3"	"3d6.4s.(6D).6s"	"5D"	"4"	7	9		""	"L11631"	
Ti	1	"564.4133"	"0.0004"	"564.41339"	"0.00019"	"790"	""		"2.2673677"	"4.4634495"	"3d3.(2G).4s"	"b 1G"	"4"	"3d2.(1G).4s.4p.(1P*)"	"y 1G*"	"4"	9	9		""	"L10989"	
Cr	1	"564.4178"	"0.0005"	"564.41784"	"0.00003"	"2"	""		"3.55053095"	"5.74659540"	"3d5.(4D).4s"	"a 3D"	"3"	"3d4.(3F1).4s.4p.(3P*)"	"w 5D*"	"2"	7	5		""	"L14866"	
Fe	1	"564.4357"	"0.0003"	"564.43576"	"0.00004"	"4"	""		"4.15435379"	"6.35034852"	"3d7.(4F).4p"	"y 5D*"	"3"	"3d6.(5D).4s (6D).4d"	"e 5G"	"3"	7	7		""	"L11631"	
Cr	2	"564.47569"	"0.00012"	"564.47582"	"0.00010"	"13"	""		"10.87186553"	"13.06770442"	"3d4.(5D).4d"	"f 6D"	"9/2"	"3d4.(5D<2>).4f"	"2[4]*"	"9/2"	10	10		""	"L18847"	
Fe	2	"564.53901"	"0.00004"	"564.53900"	"0.00004"	"1300"	"2.72e+07"	B+	"10.5615658"	"12.7571589"	"3d6.(5D).4d"	"e 4G"	"9/2"	"3d6.(5D<4>).4f"	"2[6]*"	"11/2"	10	12		"T6892c83"	"L18349c139"	
Si	1	"564.5611"	""	"564.5613"	""	"90"	"9.7e+05"	D	"4.9296471"	"7.1251535"	"3s2.3p.4s"	"3P*"	"1"	"3s2.3p.5p"	"3P"	"2"	3	5		"T6066c4,LS"	"L3521"	
S	2	"564.5672"	"0.0012"	"564.5678"	"0.0010"	"2400"	"2.47e+06"	D+	"13.671564"	"15.867045"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	6	4		"T3186c85"	"L5883"	
Fe	1	"564.58334"	"0.00010"	"564.58325"	"0.00004"	"29"	""		"4.60695104"	"6.80237209"	"3d6.(5D).4s.4p.(1P*)"	"y 5P*"	"2"	"3d6.4s.(6D).6s"	"5D"	"3"	5	7		""	"L11631"	
Fe	2	"564.62271"	"0.00016"	"564.62263"	"0.00003"	"240"	"6.8e+06"	C+	"10.6229357"	"12.8182037"	"3d6.(5D).4d"	"e 4G"	"5/2"	"3d6.(5D<3>).4f"	"2[3]*"	"7/2"	6	8		"T6892c83"	"L18349c139"	
Cu	1	"564.65"	"0.03"	"564.645"	"0.004"	"2h"	""		"5.688311"	"7.883492"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	"3d9.4s.(3D).5s"	"4D"	"3/2"	4	4		""	"L772"	
Fe	1	"564.6684"	"0.0003"	"564.66837"	"0.00004"	"20"	""		"4.26045326"	"6.45554341"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	"3d6.(5D).4s (6D).4d"	"e 5P"	"2"	3	5		""	"L11631"	
S	2	"564.7033"	"0.0024"	"564.6998"	"0.0010"	"12000"	"5.49e+07"	C+	"14.002471"	"16.197439"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	"3s2.3p2.(3P).4p"	"2D*"	"3/2"	2	4		"T3186c85"	"L5883"	
Fe	1	"564.7766"	"0.0005"	"564.77715"	"0.00005"	"4"	""		"2.27860466"	"4.47327202"	"3d6.4s2"	"a 3P2"	"2"	"3d7.(4F).4p"	"z 3G*"	"3"	5	7		""	"L11631"	
Cr	1	"564.7890"	"0.0005"	"564.78894"	"0.00019"	"2"	""		"3.81713644"	"6.0117580"	"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"1"	"3d4.4s.5s"	"f 5D"	"0"	3	1		""	"L14866"	
Cu	2	"564.80170"	"0.00024"	"564.80161"	"0.00006"	"430"	""		"14.65037786"	"16.84495017"	"3d9.(2D<3/2>).4d"	"2[3/2]"	"2"	"3d9.(2D<5/2>).4f"	"2[1/2]*"	"1"	5	3		""	"L869c171"	
C	2	"564.8070"	"0.0010"	"564.8067"	"0.0006"	"19"	"1.95e+07"	B+	"20.704213"	"22.898766"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).3p"	"4S"	"3/2"	4	4		"T2440"	"L1176"	
C	1	"564.81"	"0.03"	"564.8156"	"0.0013"	"980"	""		"8.850662829"	"11.045181"	"2s2.2p.3p"	"3P"	"2"	"2s2.2p.(2P*<1/2>).9s"	"2[1/2]*"	"1"	5	3		""	"L2138"	
Cr	1	"564.8261"	"0.0002"	"564.82612"	"0.00006"	"6"	"4.2e+06"	D	"3.82599758"	"6.02047467"	"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"2"	"3d4.4s.5s"	"f 5D"	"2"	5	5		"T4288"	"L14866"	
S	2	"564.8354"	"0.0012"	"564.8341"	"0.0010"	"880"	"6.90e+06"	C	"16.265137"	"18.459583"	"3s2.3p2.(3P).4p"	"2D*"	"5/2"	"3s2.3p2.(1S).3d"	"2D"	"5/2"	6	6		"T3186c85"	"L5883"	
Ti	1	"564.8562"	"0.0004"	"564.85661"	"0.00013"	"150"	"1.3e+07"	D	"2.4953137"	"4.6896723"	"3d2.(3F).4s.4p.(3P*)"	"z 3D*"	"3"	"3d2.4s.(4F).5s"	"e 3F"	"4"	7	9		"T4401n"	"L10989"	
Fe	2	"564.88996"	"0.00006"	"564.88996"	"0.00004"	"700"	"1.43e+07"	B+	"10.5615658"	"12.7557949"	"3d6.(5D).4d"	"e 4G"	"9/2"	"3d6.(5D<4>).4f"	"2[4]*"	"9/2"	10	10		"T6892c83"	"L18349c139"	
Cr	1	"564.9386"	"0.0002"	"564.93856"	"0.00004"	"8"	"5.1e+06"	D	"3.83921781"	"6.03325810"	"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"3"	"3d4.4s.5s"	"f 5D"	"3"	7	7		"T4288"	"L14866"	
Fe	1	"564.96303"	"0.00010"	"564.96300"	"0.00005"	"115"	"3.6e+04"	E	"3.63434980"	"5.82829520"	"3d6.4s2"	"a 1I"	"6"	"3d6.(3H).4s.4p.(3P*)"	"z 3H*"	"5"	13	11		"T2578n"	"L11631"	
Ni	1	"564.970"	""	""	""	"4"	""		""	""	""	""	""	""	""	""				""	"L3475"	
Fe	1	"564.99869"	"0.00010"	"564.99867"	"0.00010"	"110"	"5.1e+06"	E	"5.09954435"	"7.2933513"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"1"	"3d6.(5D).4s (4D).4d"	"g 5G"	"2"	3	5		"T2578n"	"L11631"	
Fe	2	"565.01159"	"0.00006"	"565.01157"	"0.00003"	"2200"	""		"7.9400585"	"10.1338154"	"3d6.(3F2).4p"	"y 4G*"	"7/2"	"3d5.4s2"	"2F2"	"7/2"	8	8		""	"L18349c139"	
Ar	1	"565.0704"	""	"565.07040"	""	"20"	"3.20e+06"	C	"12.90701530"	"15.10054371"	"3s2.3p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	"3s2.3p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	3	1		"T1218n"	"L2634"	
Fe	1	"565.0705"	"0.0006"	"565.07052"	"0.00010"	"760bl"	"3.3e+06"	E	"5.08559017"	"7.2791181"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"2"	"3d6.(5D).4s (4D).4d"	"g 5G"	"3"	5	7		"T2578n"	"L11631"	
Cr	2	"565.12808"	"0.00010"	"565.12826"	"0.00010"	"8"	""		"10.90422840"	"13.09753223"	"3d4.(5D).4d"	"e 6F"	"9/2"	"3d4.(5D<3>).4f"	"2[5]*"	"11/2"	10	12		""	"L18847"	
Fe	1	"565.14686"	"0.00010"	"565.14683"	"0.00005"	"55"	""		"4.47327202"	"6.66650376"	"3d7.(4F).4p"	"z 3G*"	"3"	"3d7.(4F).4d"	"f 5G"	"4"	7	9		""	"L11631"	
Fe	2	"565.15238"	"0.00017"	"565.15236"	"0.00003"	"240bl(Fe I)"	"2.5e+07"	C+	"10.6290223"	"12.8222325"	"3d6.(5D).4d"	"4S"	"3/2"	"3d6.(5D<3>).4f"	"2[0]*"	"1/2"	4	2		"T6892c83"	"L18349c148"	
Fe	1	"565.1524"	"0.0003"	"565.15246"	"0.00005"	"288"	""		"4.44562726"	"6.63883718"	"3d7.(4F).4p"	"z 5G*"	"2"	"3d7.(4F).4d"	"h 5D"	"3"	5	7		""	"L11631"	
Fe	2	"565.1637"	"0.0005"	"565.16338"	"0.00003"	"80"	"5.1e+06"	D+	"10.6290223"	"12.8221898"	"3d6.(5D).4d"	"4S"	"3/2"	"3d6.(5D<3>).4f"	"2[1]*"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Cu	2	"565.1708"	"0.0004"	"565.17093"	"0.00010"	"370"	""		"14.6389757"	"16.83211397"	"3d8.(3F).4s.4p.(3P*)"	"3D*"	"1"	"3d9.(2D<3/2>).6s"	"2[3/2]"	"2"	3	5		""	"L869c171"	
Fe	1	"565.23176"	"0.00010"	"565.23173"	"0.00005"	"107"	"5.0e+05"	E	"4.26045326"	"6.45335558"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	"3d6.(5D).4s (4D).5s"	"g 5D"	"2"	3	5		"T2578n"	"L11631"	
Ne	1	"565.25664"	"0.00004"	"565.25658"	"0.00005"	"750"	"7.37e+05"	C+	"18.61270528"	"20.80551122"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"1"	3	3		"T6976"	"L3451"	
Ar	2	"565.368"	"0.0008"	"565.36739"	"0.00003"	"0"	""		"23.682522355"	"25.87489852"	"3s2.3p4.(3P).5p"	"2D*"	"3/2"	"3s2.3p4.(3P).6d"	"4P"	"3/2"	4	4		""	"L14821"	
Fe	1	"565.38664"	"0.00010"	"565.38645"	"0.00005"	"135"	"4.6e+05"	E	"4.38646275"	"6.57876498"	"3d7.(4F).4p"	"z 3G*"	"5"	"3d7.(4F).4d"	"g 5F"	"5"	11	11		"T2578n"	"L11631"	
Ar	2	"565.4020"	"0.0008"	"565.40233"	"0.00005"	"2"	""		"21.42814610"	"23.620386781"	"3s2.3p4.(1D).3d"	"2D"	"3/2"	"3s2.3p4.(3P).5p"	"2D*"	"5/2"	4	6		""	"L14821"	
Cr	1	"565.410"	"0.003"	"565.40473"	"0.00005"	"10"	""		"3.07899825"	"5.27122963"	"3d5.(4G).4s"	"a 3G"	"3"	"3d5.(4G).4p"	"z 5G*"	"2"	7	5		""	"L808"	
Cr	2	"565.44387"	"0.00011"	"565.44377"	"0.00010"	"6"	""		"10.87186553"	"13.06394552"	"3d4.(5D).4d"	"f 6D"	"9/2"	"3d4.(5D<2>).4f"	"2[5]*"	"11/2"	10	12		""	"L18847"	
Ar	2	"565.44555"	"0.00014"	"565.445722"	"0.000013"	"8"	""		"23.484470418"	"25.67654286"	"3s2.3p4.(3P).5p"	"4D*"	"7/2"	"3s2.3p4.(3P).7s"	"4P"	"5/2"	8	6		""	"L11520"	
Ti	1	"565.4765"	"0.0004"	"565.4765"	"0.0003"	"7"	""		"3.3994023"	"5.5913554"	"3d2.(1D).4s.4p.(3P*)"	"x 3D*"	"2"	"3d2.4s.(2D).5s"	"3D"	"2"	5	5		""	"L10989"	
Fe	2	"565.4868"	""	"565.48679"	"0.00006"	":"	"4.03e-02"	C+	"0.35186476"	"2.54377802"	"3d7"	"a 4F"	"5/2"	"3d7"	"a 2D2"	"5/2"	6	6	M1	"T8961"	"L22747"	
Fe	1	"565.51761"	"0.00010"	"565.51761"	"0.00007"	"155"	"4.7e+06"	E	"5.06378173"	"7.25557550"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"3"	"3d6.(5D).4s (4D).4d"	"g 5G"	"4"	7	9		"T2578n"	"L11631"	
Ar	2	"565.5236"	"0.0008"	"565.52562"	"0.00005"	"2"	""		"21.42814610"	"23.619908872"	"3s2.3p4.(1D).3d"	"2D"	"3/2"	"3s2.3p4.(3P).5p"	"2P*"	"3/2"	4	4		""	"L14821"	
Fe	2	"565.5347"	"0.0002"	"565.53451"	"0.00003"	"250"	"9.8e+06"	C+	"10.6290223"	"12.8207506"	"3d6.(5D).4d"	"4S"	"3/2"	"3d6.(5D<3>).4f"	"2[2]*"	"5/2"	4	6		"T6892c83"	"L18349c139"	
Fe	1	"565.5490"	"0.0006"	"565.54893"	"0.00010"	"540bl*"	""		"5.03306811"	"7.2247405"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"4"	"3d6.(5D).4s (4D).4d"	"g 5G"	"5"	9	11		""	"L11631"	
Fe	1	"565.5490"	"0.0006"	"565.54929"	"0.00005"	"540bl*"	""		"4.26045326"	"6.45212430"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	"3d6.(5D).4s (4D).5s"	"e 3D"	"1"	3	3		""	"L11631"	
Na	2	"565.563"	"0.010"	""	""	"80"	""		""	""	""	""	""	""	""	""				""	"L914"	
Cr	2	"565.59573"	"0.00010"	"565.59593"	"0.00010"	"7"	""		"10.85951131"	"13.05100160"	"3d4.(5D).4d"	"f 6D"	"7/2"	"3d4.(5D<1>).4f"	"2[4]*"	"9/2"	8	10		""	"L18847"	
Ne	1	"565.60258"	"0.00030"	"565.60252"	"0.00005"	"750"	"3.66e+05"	C+	"18.61270528"	"20.80417004"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[3/2]*"	"2"	3	5		"T6976"	"L4498"	
Ti	1	"565.6079"	"0.0004"	"565.60759"	"0.00022"	"3"	""		"3.3994023"	"5.5908475"	"3d2.(1D).4s.4p.(3P*)"	"x 3D*"	"2"	"3d2.4s.(2D).5s"	"3D"	"1"	5	3		""	"L10989"	
Cu	2	"565.6632"	"0.0003"	"565.66271"	"0.00010"	"7300"	""		"14.99211615"	"17.1833477"	"3d9.(2D<5/2>).5p"	"2[3/2]*"	"1"	"3d9.(2D<3/2>).5d"	"2[1/2]"	"1"	3	3		""	"L869c171"	
Ne	1	"565.66588"	"0.00004"	"565.66578"	"0.00005"	"5000"	"2.95e+06"	C+	"18.61270528"	"20.80392497"	"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	"2s2.2p5.(2P*<1/2>).4d"	"2[5/2]*"	"2"	3	5		"T6976"	"L3451"	
Fe	1	"565.85313"	"0.00010"	"565.85313"	"0.00005"	"398"	"5.80e+05"	B	"3.43018998"	"5.62068415"	"3d6.(5D).4s.4p.(3P*)"	"z 5F*"	"1"	"3d6.(5D).4s (6D).5s"	"e 5D"	"2"	3	5		"T5783"	"L11631"	
Cr	1	"565.86310"	"0.00016"	"565.86320"	"0.00003"	"10"	""		"3.55614020"	"5.74659540"	"3d5.(4D).4s"	"a 3D"	"2"	"3d4.(3F1).4s.4p.(3P*)"	"w 5D*"	"2"	5	5		""	"L14866"	
Fe	1	"565.86575"	"0.00010"	"565.86572"	"0.00005"	"295"	"4.52e+06"	C+	"4.28330826"	"6.47375371"	"3d7.(4F).4p"	"y 5F*"	"2"	"3d6.(5D).4s (4D).5s"	"g 5D"	"1"	5	3		"T6110"	"L11631"	
Fe	1	"565.88160"	"0.00010"	"565.88161"	"0.00005"	"5400"	"4.34e+06"	B	"3.39650880"	"5.58689276"	"3d6.(5D).4s.4p.(3P*)"	"z 5F*"	"3"	"3d6.(5D).4s (6D).5s"	"e 5D"	"3"	7	7		"T5720"	"L11631"	
Ti	1	"565.9095"	"0.0004"	"565.90967"	"0.00016"	"20"	""		"0.8995494"	"3.0898247"	"3d2.4s2"	"a 1D"	"2"	"3d2.(3P).4s.4p.(3P*)"	"z 3S*"	"1"	5	3		""	"L10989"	
Fe	2	"565.91407"	"0.00004"	"565.91399"	"0.00005"	"1500"	""		"10.9062870"	"13.0965456"	"3d5.(4G).4s.4p.(3P*)"	"y 6F*"	"3/2"	"3d6.(5D).5d"	"4G"	"5/2"	4	6		""	"L18349c139"	
Cr	1	"565.952"	"0.003"	"565.9518"	"0.0019"	"10"	""		"5.83314465"	"8.023257"	"3d4.(3H).4s.4p.(3P*)"	"x 5G*"	"2"	"3d4.4s.5s"	"e 5H"	"3"	5	7		""	"L808"	
Fe	1	"565.95743"	"0.00010"	"565.95744"	"0.00010"	"31"	""		"5.08559017"	"7.2756807"	"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"2"	"3d6.4s.(4D).4d"	"3D"	"3"	5	7		""	"L11631"	
S	2	"565.9985"	"0.0012"	"565.9998"	"0.0013"	"12000"	"3.12e+07"	C+	"13.677118"	"15.867045"	"3s2.3p2.(3P).3d"	"4F"	"5/2"	"3s2.3p2.(3P).4p"	"4D*"	"3/2"	6	4		"T3186c85"	"L5883"	
Fe	2	"566.01407"	"0.00008"	"566.01399"	"0.00003"	"360"	"1.98e+07"	C+	"10.6290223"	"12.8188939"	"3d6.(5D).4d"	"4S"	"3/2"	"3d6.(5D<3>).4f"	"2[2]*"	"3/2"	4	4		"T6892c83"	"L18349c139"	
Fe	2	"566.0633"	"0.0003"	"566.06405"	"0.00004"	"110"	""		"10.6229357"	"12.8126137"	"3d6.(5D).4d"	"e 4G"	"5/2"	"3d6.(5D<3>).4f"	"2[4]*"	"7/2"	6	8		""	"L18349c139"	
Si	2	"566.066"	""	"566.065"	""	"150w"	"7.00e+06"	C+	"14.174760"	"16.364433"	"3s.3p.(3P*).3d"	"4F*"	"5/2"	"3s.3p.(3P*).4p"	"4D"	"5/2"	6	6		"T6570"	"L3541"	
Fe	1	"566.08008"	"0.00010"	"566.08008"	"0.00005"	"41"	"4.4e+04"	E	"3.63977237"	"5.82938837"	"3d6.4s2"	"b 3D"	"2"	"3d7.(4P).4p"	"w 3D*"	"3"	5	7		"T2578n"	"L11631"	
Fe	1	"566.1021"	"0.0003"	"566.10201"	"0.00005"	"7"	""		"4.58004944"	"6.76958063"	"3d7.(2F).4s"	"d 3F"	"2"	"3d6.(3G).4s.4p.(3P*)"	"t 3G*"	"3"	5	7		""	"L11631"	
Fe	2	"566.10211"	"0.00008"	"566.10358"	"0.00005"	"300bl(Fe I)"	""		"11.3073311"	"13.4968562"	"3d6.(5D).5p"	"4D*"	"1/2"	"3d6.(3G).4d"	"4D"	"3/2"	2	4		""	"L18349c148"	
Fe	1	"566.13451"	"0.00010"	"566.13445"	"0.00005"	"58"	"1.22e+06"	B	"4.28434800"	"6.47375371"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"0"	"3d6.(5D).4s (4D).5s"	"g 5D"	"1"	1	3		"T6110"	"L11631"	
Cr	2	"566.13839"	"0.00008"	"566.13850"	"0.00010"	"12"	""		"10.85045216"	"13.03984221"	"3d4.(5D).4d"	"f 6D"	"5/2"	"3d4.(5D<0>).4f"	"2[3]*"	"7/2"	6	8		""	"L18847"	
Fe	1	"566.1970"	"0.0003"	"566.19704"	"0.00005"	"10"	""		"4.26045326"	"6.44961696"	"3d6.(5D).4s.4p.(3P*)"	"z 3P*"	"1"	"3d6.(5D).4s (6D).4d"	"e 5P"	"1"	3	3		""	"L11631"	
Ti	1	"566.2148"	"0.0004"	"566.21516"	"0.00013"	"350"	"1.94e+07"	B+	"2.3179012"	"4.5069949"	"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"4"	"3d2.4s.(4F).5s"	"e 5F"	"5"	9	11		"T6897"	"L10989"	
Ne	2	"566.2200"	"0.0020"	"566.22007"	"0.00010"	"40"	""		"34.3035902"	"36.4926649"	"2s2.2p4.(1S).3s"	"2S"	"1/2"	"2s2.2p4.(3P).4p"	"2P*"	"1/2"	2	2		""	"L1406"	
C	2	"566.2470"	"0.0010"	"566.2460"	"0.0006"	"33"	"2.93e+07"	B	"20.709791"	"22.898766"	"2s.2p.(3P*).3s"	"4P*"	"5/2"	"2s.2p.(3P*).3p"	"4S"	"3/2"	6	4		"T5109LS"	"L1176"	
Fe	1	"566.25158"	"0.00010"	"566.25159"	"0.00005"	"2090"	"6.18e+06"	B	"4.17769679"	"6.36664959"	"3d7.(4F).4p"	"y 5F*"	"5"	"3d6.(5D).4s (4D).5s"	"g 5D"	"4"	11	9		"T5720"	"L11631"	
Ne	1	"566.25489"	"0.00004"	"566.25476"	"0.00005"	"750"	"5.31e+05"	B+	"18.38162323"	"20.57056379"	"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	3		"T2734"	"L3451"	
Cr	1	"566.264"	"0.003"	"566.26075"	"0.00004"	"15"	""		"3.43483025"	"5.62374764"	"3d4.4s2"	"b 3G"	"4"	"3d5.(4G).4p"	"z 3H*"	"4"	9	9		""	"L808"	
Ti	1	"566.2881"	"0.0004"	"566.28822"	"0.00016"	"110"	""		"2.4804327"	"4.6692439"	"3d2.(3F).4s.4p.(3P*)"	"z 3D*"	"2"	"3d2.4s.(4F).5s"	"e 3F"	"3"	5	7		""	"L10989"	
Fe	1	"566.29376"	"0.00010"	"566.29374"	"0.00005"	"347"	"2.45e+05"	C+	"3.69459719"	"5.88338708"	"3d6.4s2"	"b 1G2"	"4"	"3d7.(2G).4p"	"z 1G*"	"4"	9	9		"T5720"	"L11631"	
Ni	1	"566.402"	""	"566.3985"	""	"5"	"1.1e+07"	D	"4.5379197"	"6.7263049"	"3d8.(3F).4s.4p.(3P*)"	"1D*"	"2"	"3d8.4s.(2F).5s"	"1F"	"3"	5	7		"T2765"	"L3475"	
Cr	1	"566.40302"	"0.00006"	"566.40299"	"0.00004"	"48"	""		"3.43483025"	"5.62319793"	"3d4.4s2"	"b 3G"	"4"	"3d5.(4G).4p"	"z 3H*"	"5"	9	11		""	"L14866"	
Cu	2	"566.44833"	"0.00023"	"566.44829"	"0.00005"	"2900"	""		"14.69012064"	"16.87831334"	"3d9.(2D<3/2>).4d"	"2[5/2]"	"3"	"3d9.(2D<5/2>).4f"	"2[7/2]*"	"4"	7	9		""	"L869c171"	
Cr	1	"566.4580"	"0.0002"	"566.45817"	"0.00010"	"6"	""		"3.82599758"	"6.0141521"	"3d4.(5D).4s.4p.(3P*)"	"z 5F*"	"2"	"3d4.4s.5s"	"f 5D"	"1"	5	3		""	"L14866"	
Na	2	"566.478"	"0.010"	""	""	"100"	""		""	""	""	""	""	""	""	""				""	"L914"	
S	2	"566.4780"	"0.0012"	"566.4773"	"0.0013"	"9700"	"3.89e+07"	C	"13.660211"	"15.848291"	"3s2.3p2.(3P).3d"	"4F"	"3/2"	"3s2.3p2.(3P).4p"	"4D*"	"1/2"	4	2		"T3186c85"	"L5883"	
Si	1	"566.5554"	""	"566.5555"	""	"80"	"6.31e+05"	D	"4.9200852"	"7.1078640"	"3s2.3p.4s"	"3P*"	"0"	"3s2.3p.5p"	"3P"	"1"	1	3		"T2301"	"L3521"	
